Game_Id,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,Developer,Rating
12780,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,23,9,Polyphony Digital,T
23610,Just Dance 2,Wii,2010,Misc,Ubisoft,74,24,7.3,Ubisoft,E10+
53716,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,10,2.6,Infinity Ward,M
86911,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,70,8.4,Infinity Ward,M
55880,Donkey Kong Country,SNES,1994,Platform,Nintendo,72,24,7.5,SCEE London Studio,M
43424,Minecraft,X360,2013,Misc,Microsoft Game Studios,72,24,7.5,Hijinx Studios,T
36476,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,70,8.7,Nintendo,E
75142,Mario Party DS,DS,2007,Misc,Nintendo,72,27,7.8,Hudson Soft,E
99000,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96,89,8.4,Bethesda Game Studios,M
39617,Super Mario Kart,SNES,1992,Racing,Nintendo,72,24,7.5,"Sony Online Entertainment, Mind Control Software",T
17369,FIFA 16,PS4,2015,Sports,Electronic Arts,82,42,4.3,EA Sports,E
77238,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95,91,8.2,Bungie Software,M
71165,Wii Party,Wii,2010,Misc,Nintendo,68,42,7.4,Nd Cube,E
44017,Mario Party 8,Wii,2007,Misc,Nintendo,62,41,6.3,Hudson,E
53721,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,37,6.6,Electronic Arts,E
40893,GoldenEye 007,N64,1997,Shooter,Nintendo,72,24,7.5,War Drum Studios,M
12955,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,72,24,7.5,"Blue Byte, Related Designs",RP
76229,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,53,8.7,SquareSoft,T
19703,The Sims 3,PC,2009,Simulation,Electronic Arts,86,75,7.6,The Sims Studio,T
62476,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,72,24,7.5,Indies Zero,RP
60448,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,72,24,7.5,"Gust, Idea Factory",M
22432,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90,24,8.6,SquareSoft,T
88383,Pac-Man,2600,1982,Puzzle,Atari,72,24,7.5,Project Aces,RP
43146,Pok̩mon Platinum Version,DS,2008,Role-Playing,Nintendo,83,46,8.5,Game Freak,E
35652,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88,65,7.6,Rockstar Leeds,M
28961,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83,39,5.7,Sledgehammer Games,M
72663,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,72,24,7.5,Platinum Egg,E10+
60764,FIFA 17,PS4,2016,Sports,Electronic Arts,85,41,5,"EA Sports, EA Vancouver",E
71024,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,72,24,7.5,Acclaim Studios Cheltenham,E10+
98123,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,72,24,7.5,"HAL Labs, Creatures Inc.",E
73627,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97,87,9.1,Nintendo EAD Tokyo,E
54781,Super Mario Bros. 2,NES,1988,Platform,Nintendo,72,24,7.5,Zindagi Games,K-A
23878,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,72,24,7.5,Halfbrick Studios,AO
91640,Call of Duty: World at War,X360,2008,Shooter,Activision,84,84,7.6,Treyarch,M
58198,Battlefield 3,X360,2011,Shooter,Electronic Arts,84,57,7.4,EA DICE,M
48799,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85,33,8.6,EA Black Box,E
33953,Just Dance,Wii,2009,Misc,Ubisoft,49,21,8,Ubisoft Paris,E10+
82781,Battlefield 3,PS3,2011,Shooter,Electronic Arts,85,38,7.5,EA DICE,M
63292,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87,58,6.5,Bethesda Game Studios,M
19445,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96,15,9.1,Namco,T
70689,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95,73,9,Nintendo,T
95386,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,72,24,7.5,SuperBot Entertainment,K-A
75450,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91,12,8.9,Naughty Dog,E
78564,Mario Kart 8,WiiU,2014,Racing,Nintendo,88,82,9.1,Nintendo,E
50649,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92,38,9.1,HAL Labs,T
18727,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,72,24,7.5,ArtePiazza,T
13356,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82,39,8.6,EA Canada,E
61119,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88,29,8.5,EA LA,T
12424,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,72,24,7.5,Nordcurrent,E10+
30579,Just Dance 4,Wii,2012,Misc,Ubisoft,74,10,7.3,Ubisoft,E10+
66616,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93,90,7.7,Epic Games,M
36879,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92,97,8.3,Naughty Dog,T
86490,Zumba Fitness,Wii,2010,Sports,505 Games,72,24,7.5,"Neon Studios, Kaiko",K-A
67351,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94,44,8.4,Infinity Ward,M
54056,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96,105,8.8,Naughty Dog,T
35747,FIFA 12,PS3,2011,Sports,Electronic Arts,72,24,7.5,"Buddiez, Inc.",RP
44382,Big Brain Academy,DS,2005,Misc,Nintendo,74,45,7.4,Nintendo,E
87188,The Legend of Zelda,NES,1986,Action,Nintendo,72,24,7.5,Treasure,T
44264,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95,73,8.8,Rockstar San Diego,M
19865,FIFA 14,PS3,2013,Sports,Electronic Arts,86,37,4.3,EA Canada,E
70350,Assassin's Creed III,PS3,2012,Action,Ubisoft,85,41,6.9,Ubisoft,M
76838,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87,77,8.6,Retro Studios,E
55845,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97,68,8.6,Bungie Software,M
52662,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92,16,6.4,Bethesda Game Studios,M
48138,Pok̩mon Emerald Version,GBA,2004,Role-Playing,Nintendo,76,28,9,Game Freak,E
25264,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85,46,8.8,SquareSoft,E
97552,Pok̩mon Crystal Version,GB,2000,Role-Playing,Nintendo,72,24,7.5,Eighting,M
23826,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83,94,7.1,"Bungie Software, Bungie",M
99388,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95,96,9,Rockstar San Diego,M
26433,Super Mario Sunshine,GC,2002,Platform,Nintendo,92,61,8.6,Nintendo,E
53900,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,72,24,7.5,Climax Group,RP
19686,World of Warcraft,PC,2004,Role-Playing,Activision,93,57,7.3,Blizzard Entertainment,T
38822,Driver,PS,1999,Action,GT Interactive,87,22,8.1,Reflections Interactive,T
35443,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91,96,7.8,Epic Games,M
57164,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73,51,7.4,Rare Ltd.,E10+
23400,Gears of War,X360,2006,Shooter,Microsoft Game Studios,94,88,8.3,Epic Games,M
65544,FIFA 15,PS4,2014,Sports,Electronic Arts,82,47,5.7,EA Sports,E
62138,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96,42,8.7,KCEJ,M
40844,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,72,24,7.5,"Tecmo, Ntreev Soft",AO
98268,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94,20,9.4,KCEJ,M
25156,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94,82,8.7,Kojima Productions,M
54455,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92,64,7.6,Square Enix,T
68815,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95,98,9.1,Naughty Dog,M
91785,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95,85,6.8,"SCE/WWS, Media Molecule",E
96666,Resident Evil 2,PS,1998,Action,Virgin Interactive,89,13,9.2,Capcom,M
61259,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87,65,8.8,Level 5,E10+
86888,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89,8,8.9,Namco,T
68191,Destiny,PS4,2014,Shooter,Activision,76,95,6.1,"Bungie Software, Bungie",T
64859,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80,17,8.9,Traveller's Tales,E10+
92955,Cooking Mama,DS,2006,Simulation,505 Games,67,35,7.2,Taito Corporation,E
82182,Tetris,NES,1988,Puzzle,Nintendo,72,24,7.5,Eugen Systems,T
71715,Super Smash Bros.,N64,1999,Fighting,Nintendo,72,24,7.5,Stormfront Studios,E
12996,Assassin's Creed II,PS3,2009,Action,Ubisoft,91,70,8.6,Ubisoft Montreal,M
56051,Assassin's Creed,X360,2007,Adventure,Ubisoft,81,77,7.7,Ubisoft Montreal,M
99469,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92,90,8,Turn 10,E
31150,Super Mario Advance,GBA,2001,Platform,Nintendo,84,19,7.8,Nintendo,E
45046,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81,48,8.7,Capcom,T
21661,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,42,8.6,Rocksteady Studios,T
78068,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97,14,7.9,Rockstar North,M
76785,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93,24,8.3,Intelligent Systems,E
37631,Super Mario World,GBA,2001,Platform,Nintendo,72,24,7.5,Hokus Pokus,T
85381,Pokemon Stadium,N64,1999,Strategy,Nintendo,72,24,7.5,Venom Games,E
99920,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66,22,7.1,Traveller's Tales,E
90516,Call of Duty: World at War,PS3,2008,Shooter,Activision,85,45,7.6,Treyarch,M
85933,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93,113,7.9,Naughty Dog,T
48875,Dr. Mario,GB,1989,Puzzle,Nintendo,72,24,7.5,Lead Pursuit,AO
63982,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83,83,7.3,Square Enix,T
57461,Pokemon Pinball,GB,1999,Misc,Nintendo,72,24,7.5,Team Fusion,T
78135,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94,22,8.9,SquareSoft,T
48459,Assassin's Creed III,X360,2012,Action,Ubisoft,84,61,6.7,Ubisoft,M
50035,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85,45,6.6,SquareSoft,T
90952,Donkey Kong 64,N64,1999,Platform,Nintendo,72,24,7.5,Multimedia Intelligence Transfer,E10+
64686,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81,53,5.4,Sledgehammer Games,M
98372,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,72,24,7.5,Ninja Theory,RP
62429,Assassin's Creed II,X360,2009,Action,Ubisoft,90,82,8.8,Ubisoft Montreal,M
73897,Tomb Raider II,PS,1997,Action,Eidos Interactive,72,24,7.5,Next Level Games,AO
96261,Madden NFL 2004,PS2,,Sports,Electronic Arts,94,29,8.5,EA Tiburon,E
80162,Tomodachi Life,3DS,2013,Simulation,Nintendo,72,24,7.5,Bandai,E
63309,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84,70,8.1,Nintendo,E
20306,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89,63,8.8,Level 5,T
48859,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,72,24,7.5,Ubisoft Bulgaria,RP
43734,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85,72,8.6,Level 5,E
21384,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,72,24,7.5,Cohort Studios,K-A
39336,FIFA Soccer 13,X360,2012,Action,Electronic Arts,90,48,6.1,Electronic Arts,E
54626,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,72,24,7.5,SunSoft,AO
61770,Diablo III,PC,2012,Role-Playing,Activision,88,86,4,Blizzard Entertainment,M
19862,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68,30,7.6,EA LA,T
32076,Kirby's Dream Land,GB,1992,Platform,Nintendo,72,24,7.5,Monolith Productions,E
20885,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,72,24,7.5,Psygnosis,K-A
58500,Guitar Hero II,PS2,2006,Misc,RedOctane,92,69,8.5,Harmonix Music Systems,T
17399,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80,88,6.5,Lionhead Studios,M
90524,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,72,24,7.5,BeeWorks,T
71237,Resident Evil 5,PS3,2009,Action,Capcom,84,76,7.5,Capcom,M
27674,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,90,57,8,Nintendo,E
57496,Super Mario Bros.,GB,1999,Platform,Nintendo,72,24,7.5,"Team Ninja, Tecmo",E
15784,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,89,51,8,EA Sports,E
50321,Resident Evil,PS,1996,Action,Virgin Interactive,91,8,9,Capcom,M
51753,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,86,50,8,Rockstar Leeds,M
29699,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,92,18,9.2,Neversoft Entertainment,T
95803,Warzone 2100,PS,1999,Strategy,Eidos Interactive,72,24,7.5,"Jellyvision, Iron Galaxy Studios",E
78644,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,72,24,7.5,The Workshop,RP
13615,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,82,24,8.2,"Neversoft Entertainment, BudCat",T
82794,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,68,34,7.1,Nintendo,T
80233,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,72,24,7.5,Office Create,E
68636,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,93,84,8.5,Bethesda Game Studios,M
59045,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,88,66,8.1,"Naughty Dog, SCE/WWS",T
62465,Madden NFL 06,PS2,2005,Sports,Electronic Arts,88,29,8,EA Sports,E
57285,Diddy Kong Racing,N64,1997,Racing,Nintendo,72,24,7.5,SCEE London Studio,T
12648,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,72,24,7.5,"Activision, Behaviour Interactive",RP
15269,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,72,24,7.5,Virtual Air Guitar Company,M
27244,Dr. Mario,NES,1990,Puzzle,Nintendo,72,24,7.5,LSP,AO
38726,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,93,82,8.2,Blizzard Entertainment,T
96195,Assassin's Creed,PS3,2007,Adventure,Ubisoft,81,40,7.3,Ubisoft Montreal,M
23228,God of War III,PS3,2010,Action,Sony Computer Entertainment,92,101,8.7,SCE Santa Monica,M
24447,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88,20,9,Naughty Dog,E
73922,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,80,9,5.4,TT Fusion,E
24045,Driver 2,PS,2000,Action,Atari,62,14,7.7,Reflections Interactive,T
96115,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,94,87,8.7,Rocksteady Studios,T
29015,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,72,24,7.5,Crawfish Interactive,AO
61028,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,72,24,7.5,"Dimps Corporation, Namco Bandai Games",T
73268,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,98,19,7.7,Neversoft Entertainment,T
45336,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,82,32,8.2,Stormfront Studios,T
48968,Tomb Raider,PS,1996,Action,Eidos Interactive,91,13,8.6,Core Design Ltd.,T
36039,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,73,50,7.6,Nintendo,E
63849,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,86,78,8.1,Bluepoint Games,T
67465,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,72,24,7.5,Enterbrain,K-A
28968,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,96,80,8.9,Nintendo,E
62042,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,86,36,8.4,Vicarious Visions,T
81241,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86,74,8.4,Next Level Games,E
96527,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,91,83,8.2,Turn 10,E
99992,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,72,24,7.5,Kung Fu Factory,M
63500,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,91,30,7.9,EA Tiburon,E
75940,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,85,69,7.9,Neversoft Entertainment,T
76439,Pitfall!,2600,1981,Platform,Activision,72,24,7.5,Iridon Interactive AB,E
37785,Madden NFL 07,PS2,2006,Sports,Electronic Arts,84,29,8.2,EA Sports,E
59094,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,84,101,6.4,343 Industries,T
31651,Spider-Man: The Movie,PS2,2002,Action,Activision,76,25,7.9,Treyarch,E
19471,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,72,24,7.5,Osiris Studios,RP
89680,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,77,82,3.4,Infinity Ward,M
19223,God of War,PS2,2005,Action,Sony Computer Entertainment,94,75,8.9,SCE Santa Monica,M
51373,Splatoon,WiiU,2015,Shooter,Nintendo,81,88,8.5,Nintendo,E10+
91923,Nintendo Land,WiiU,2012,Misc,Nintendo,77,61,7.9,Nintendo,E10+
96397,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,97,34,7.5,Neversoft Entertainment,T
25431,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,86,19,8.9,Konami,E
13755,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94,90,8.7,Bethesda Softworks,M
87451,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,72,24,7.5,2K Australia,M
88878,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,82,36,9.1,EA Canada,T
80410,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,56,37,8.3,"Ubisoft Paris, Ubisoft Montpellier",E10+
18409,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,72,24,7.5,Illusion Softworks,K-A
27180,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,86,70,8.1,Insomniac Games,M
75782,Sonic the Hedgehog,GEN,1991,Platform,Sega,72,24,7.5,"Jupiter Corporation, Jupiter Multimedia",M
57684,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,87,64,9,Square Enix,E10+
47465,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,72,24,7.5,Ryu ga Gotoku Studios,K-A
62195,Super Mario 3D World,WiiU,2013,Platform,Nintendo,93,83,9,Nintendo,E
98785,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,72,24,7.5,"Nintendo, Nd Cube",RP
75968,Asteroids,2600,1980,Shooter,Atari,72,24,7.5,"Activision, FreeStyleGames",AO
28995,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,72,24,7.5,Sidhe Interactive,K-A
74186,FIFA 15,PS3,2014,Sports,Electronic Arts,72,24,7.5,Shin'en,AO
